run_time,lati,long,zagl
2016-09-04T20:01:50Z,30.50257,-103.49800,5
2016-09-04T20:01:51Z,30.52096,-103.50356,5
2016-09-04T20:01:51Z,30.50074,-103.49417,5
2016-09-04T20:01:51Z,30.52919,-103.50443,5
2016-09-04T20:01:51Z,30.51906,-103.49975,5
2016-09-04T20:01:51Z,30.50888,-103.49516,5
2016-09-04T20:01:51Z,30.55762,-103.51472,5
2016-09-04T20:01:51Z,30.53740,-103.50531,5
2016-09-04T20:01:51Z,30.52720,-103.50072,5
2016-09-04T20:01:52Z,30.50682,-103.49190,5
2016-09-04T20:01:52Z,30.57609,-103.52017,5
2016-09-04T20:01:52Z,30.56598,-103.51547,5
2016-09-04T20:01:52Z,30.55574,-103.51088,5
2016-09-04T20:01:52Z,30.54556,-103.50627,5
2016-09-04T20:01:52Z,30.52518,-103.49744,5
2016-09-04T20:01:52Z,30.50461,-103.48898,5
2016-09-04T20:01:52Z,30.59458,-103.52567,5
2016-09-04T20:01:52Z,30.57428,-103.51633,5
2016-09-04T20:01:52Z,30.56400,-103.51180,5
2016-09-04T20:01:52Z,30.54361,-103.50297,5
2016-09-04T20:01:52Z,30.53333,-103.49869,5
2016-09-04T20:01:52Z,30.52301,-103.49451,5
2016-09-04T20:01:52Z,30.59277,-103.52180,5
2016-09-04T20:01:52Z,30.58252,-103.51725,5
2016-09-04T20:01:53Z,30.56199,-103.50852,5
2016-09-04T20:01:53Z,30.55170,-103.50426,5
2016-09-04T20:01:53Z,30.54143,-103.50002,5
2016-09-04T20:01:53Z,30.59078,-103.51836,5
2016-09-04T20:01:53Z,30.58050,-103.51404,5
2016-09-04T20:01:53Z,30.57015,-103.50982,5
2016-09-04T20:01:53Z,30.55975,-103.50571,5
2016-09-04T20:01:53Z,30.65021,-103.54214,5
2016-09-04T20:01:53Z,30.59894,-103.51968,5
2016-09-04T20:01:53Z,30.58859,-103.51545,5
2016-09-04T20:01:53Z,30.57823,-103.51129,5
2016-09-04T20:01:53Z,30.66849,-103.54797,5
2016-09-04T20:01:53Z,30.64827,-103.53851,5
2016-09-04T20:01:54Z,30.60701,-103.52110,5
2016-09-04T20:01:54Z,30.59664,-103.51694,5
2016-09-04T20:01:54Z,30.68670,-103.55383,5
2016-09-04T20:01:54Z,30.66664,-103.54421,5
2016-09-04T20:01:54Z,30.65644,-103.53958,5
2016-09-04T20:01:54Z,30.64623,-103.53514,5
2016-09-04T20:01:54Z,30.62551,-103.52663,5
2016-09-04T20:01:54Z,30.70498,-103.55955,5
2016-09-04T20:01:54Z,30.68489,-103.54994,5
2016-09-04T20:01:54Z,30.66462,-103.54072,5
2016-09-04T20:01:54Z,30.65441,-103.53629,5
2016-09-04T20:01:54Z,30.64408,-103.53203,5
2016-09-04T20:01:54Z,30.63362,-103.52793,5
2016-09-04T20:01:54Z,30.72335,-103.56519,5
2016-09-04T20:01:54Z,30.70318,-103.55562,5
2016-09-04T20:01:55Z,30.67292,-103.54176,5
2016-09-04T20:01:55Z,30.74178,-103.57075,5
2016-09-04T20:01:55Z,30.72154,-103.56123,5
2016-09-04T20:01:55Z,30.70123,-103.55202,5
2016-09-04T20:01:55Z,30.67064,-103.53882,5
2016-09-04T20:01:55Z,30.75018,-103.57144,5
2016-09-04T20:01:55Z,30.73998,-103.56674,5
2016-09-04T20:01:55Z,30.71957,-103.55760,5
2016-09-04T20:01:55Z,30.69910,-103.54880,5
2016-09-04T20:01:55Z,30.68883,-103.54450,5
2016-09-04T20:01:55Z,30.75853,-103.57215,5
2016-09-04T20:01:55Z,30.74822,-103.56758,5
2016-09-04T20:01:56Z,30.73799,-103.56312,5
2016-09-04T20:01:56Z,30.72772,-103.55870,5
2016-09-04T20:01:56Z,30.71746,-103.55435,5
2016-09-04T20:01:56Z,30.70715,-103.55009,5
2016-09-04T20:01:56Z,30.73582,-103.55998,5
2016-09-04T20:01:56Z,30.72545,-103.55577,5
2016-09-04T20:01:56Z,30.75425,-103.56561,5
2016-09-04T20:01:56Z,30.74384,-103.56143,5
2016-09-04T20:01:57Z,30.78311,-103.57545,5
2016-09-04T20:01:57Z,30.76234,-103.56699,5
2016-09-04T20:01:57Z,30.78088,-103.57241,5
2016-09-04T20:02:04Z,31.25754,-103.72776,5
2016-09-04T20:02:04Z,31.27601,-103.73344,5
2016-09-04T20:02:04Z,31.26596,-103.72845,5
2016-09-04T20:02:04Z,31.24561,-103.71870,5
2016-09-04T20:02:05Z,31.28438,-103.73417,5
2016-09-04T20:02:05Z,31.27424,-103.72923,5
2016-09-04T20:02:05Z,31.26405,-103.72438,5
2016-09-04T20:02:05Z,31.29262,-103.73493,5
2016-09-04T20:02:05Z,31.28243,-103.73007,5
2016-09-04T20:02:05Z,31.27228,-103.72535,5
2016-09-04T20:02:05Z,31.26204,-103.72073,5
2016-09-04T20:02:05Z,31.25174,-103.71622,5
2016-09-04T20:02:05Z,31.24140,-103.71178,5
2016-09-04T20:02:05Z,31.33121,-103.75058,5
2016-09-04T20:02:05Z,31.32119,-103.74554,5
2016-09-04T20:02:06Z,31.29066,-103.73104,5
2016-09-04T20:02:06Z,31.28043,-103.72639,5
2016-09-04T20:02:06Z,31.27014,-103.72186,5
2016-09-04T20:02:06Z,31.25980,-103.71743,5
2016-09-04T20:02:06Z,31.34958,-103.75631,5
2016-09-04T20:02:06Z,31.32941,-103.74633,5
2016-09-04T20:02:06Z,31.31924,-103.74145,5
2016-09-04T20:02:06Z,31.28849,-103.72763,5
2016-09-04T20:02:06Z,31.27816,-103.72320,5
2016-09-04T20:02:06Z,31.36794,-103.76218,5
2016-09-04T20:02:06Z,31.35788,-103.75716,5
2016-09-04T20:02:06Z,31.34772,-103.75223,5
2016-09-04T20:02:06Z,31.33752,-103.74737,5
2016-09-04T20:02:06Z,31.32740,-103.74261,5
2016-09-04T20:02:06Z,31.31717,-103.73796,5
2016-09-04T20:02:06Z,31.29649,-103.72904,5
2016-09-04T20:02:06Z,31.36610,-103.75806,5
2016-09-04T20:02:06Z,31.35588,-103.75321,5
2016-09-04T20:02:07Z,31.34570,-103.74850,5
2016-09-04T20:02:07Z,31.33549,-103.74384,5
2016-09-04T20:02:07Z,31.40463,-103.77391,5
2016-09-04T20:02:07Z,31.39458,-103.76886,5
2016-09-04T20:02:07Z,31.36408,-103.75424,5
2016-09-04T20:02:07Z,31.35383,-103.74959,5
2016-09-04T20:02:07Z,31.34356,-103.74502,5
2016-09-04T20:02:07Z,31.33322,-103.74055,5
2016-09-04T20:02:07Z,31.37224,-103.75518,5
2016-09-04T20:02:07Z,31.36197,-103.75060,5
2016-09-04T20:02:07Z,31.35162,-103.74613,5
2016-09-04T20:02:08Z,31.37002,-103.75172,5
