run_time,lati,long,zagl
2016-02-17T20:52:44Z,32.00357,-116.67904,5
2016-02-17T20:52:45Z,32.03776,-116.67731,5
2016-02-17T20:52:45Z,32.00686,-116.64837,5
2016-02-17T20:52:45Z,32.06727,-116.69253,5
2016-02-17T20:52:45Z,32.09386,-116.70889,5
2016-02-17T20:52:46Z,32.05390,-116.66947,5
2016-02-17T20:52:46Z,32.02213,-116.64117,5
2016-02-17T20:52:46Z,32.08238,-116.68492,5
2016-02-17T20:52:46Z,32.12058,-116.71058,5
2016-02-17T20:52:46Z,32.05811,-116.65296,5
2016-02-17T20:52:46Z,32.14881,-116.72630,5
2016-02-17T20:52:47Z,32.09914,-116.67697,5
2016-02-17T20:52:47Z,32.13614,-116.70269,5
2016-02-17T20:52:47Z,32.16421,-116.71845,5
2016-02-17T20:52:47Z,32.12354,-116.67960,5
2016-02-17T20:52:47Z,32.19224,-116.73428,5
2016-02-17T20:52:48Z,32.15290,-116.69465,5
2016-02-17T20:52:48Z,32.23929,-116.75562,5
2016-02-17T20:52:48Z,32.20825,-116.72620,5
2016-02-17T20:52:49Z,32.19555,-116.70309,5
2016-02-17T20:52:49Z,32.25627,-116.74715,5
2016-02-17T20:52:49Z,32.23439,-116.72814,5
2016-02-17T20:52:49Z,32.29369,-116.77319,5
2016-02-17T20:52:50Z,32.26152,-116.72972,5
2016-02-17T20:52:50Z,32.23956,-116.71105,5
2016-02-17T20:52:50Z,32.28860,-116.74575,5
2016-02-17T20:52:50Z,32.34644,-116.79146,5
2016-02-17T20:52:51Z,32.29399,-116.72858,5
2016-02-17T20:52:51Z,32.36271,-116.78326,5
2016-02-17T20:52:51Z,32.33358,-116.75333,5
2016-02-17T20:52:51Z,32.40182,-116.80875,5
2016-02-17T20:52:52Z,32.36725,-116.76614,5
2016-02-17T20:52:52Z,32.41807,-116.80075,5
2016-02-17T20:52:52Z,32.45341,-116.82788,5
2016-02-17T20:52:52Z,32.39351,-116.76841,5
2016-02-17T20:52:52Z,32.44237,-116.80350,5
2016-02-17T20:52:53Z,32.48997,-116.83968,5
2016-02-17T20:52:53Z,32.41977,-116.77045,5
2016-02-17T20:52:53Z,32.45725,-116.79608,5
2016-02-17T20:52:53Z,32.52597,-116.85158,5
2016-02-17T20:52:53Z,32.49591,-116.82147,5
2016-02-17T20:52:54Z,32.55247,-116.85318,5
2016-02-17T20:52:54Z,32.58272,-116.86827,5
2016-02-17T20:52:55Z,32.54040,-116.82912,5
2016-02-17T20:52:55Z,32.50843,-116.80038,5
2016-02-17T20:52:55Z,32.61703,-116.88080,5
2016-02-17T20:52:55Z,32.55509,-116.82169,5
2016-02-17T20:52:56Z,32.62287,-116.86253,5
2016-02-17T20:52:56Z,32.67122,-116.89861,5
2016-02-17T20:52:57Z,32.67731,-116.88026,5
2016-02-17T20:52:57Z,32.64495,-116.85145,5
2016-02-17T20:52:57Z,32.71547,-116.90639,5
2016-02-17T20:52:58Z,32.70236,-116.88264,5
2016-02-17T20:52:58Z,32.76015,-116.92900,5
2016-02-17T20:52:58Z,32.68828,-116.85976,5
2016-02-17T20:52:58Z,32.73749,-116.89493,5
2016-02-17T20:52:58Z,32.76602,-116.91070,5
2016-02-17T20:52:59Z,32.79399,-116.92689,5
2016-02-17T20:52:59Z,32.74247,-116.87769,5
2016-02-17T20:52:59Z,32.77126,-116.89327,5
2016-02-17T20:52:59Z,32.84988,-116.95938,5
2016-02-17T20:52:59Z,32.81992,-116.92898,5
2016-02-17T20:53:00Z,32.79644,-116.89606,5
2016-02-17T20:53:00Z,32.85543,-116.94157,5
2016-02-17T20:53:00Z,32.82486,-116.91193,5
2016-02-17T20:53:00Z,32.90458,-116.97771,5
2016-02-17T20:53:01Z,32.84992,-116.91431,5
2016-02-17T20:53:01Z,32.94126,-116.98939,5
2016-02-17T20:53:01Z,32.90015,-116.94926,5
2016-02-17T20:53:01Z,32.87853,-116.92992,5
2016-02-17T20:53:01Z,32.92888,-116.96497,5
2016-02-17T20:53:02Z,32.97706,-117.00146,5
2016-02-17T20:53:02Z,32.90377,-116.93222,5
2016-02-17T20:53:02Z,32.95541,-116.96673,5
2016-02-17T20:53:02Z,32.93371,-116.94739,5
2016-02-17T20:53:02Z,32.98396,-116.98251,5
2016-02-17T20:53:03Z,33.01154,-116.99883,5
2016-02-17T20:53:03Z,32.96070,-116.94898,5
2016-02-17T20:53:03Z,33.06610,-117.03176,5
2016-02-17T20:53:03Z,33.03763,-117.00051,5
2016-02-17T20:53:04Z,33.01462,-116.96688,5
2016-02-17T20:53:04Z,33.10277,-117.04354,5
2016-02-17T20:53:04Z,33.05358,-116.99243,5
2016-02-17T20:53:05Z,33.10829,-117.02511,5
2016-02-17T20:53:05Z,33.07650,-116.99563,5
2016-02-17T20:53:05Z,33.14695,-117.05142,5
2016-02-17T20:53:06Z,33.13444,-117.02707,5
2016-02-17T20:53:06Z,33.11262,-117.00764,5
2016-02-17T20:53:06Z,33.19423,-117.07329,5
2016-02-17T20:53:06Z,33.16347,-117.04280,5
2016-02-17T20:53:06Z,33.13863,-117.00969,5
2016-02-17T20:53:06Z,33.22976,-117.08559,5
2016-02-17T20:53:07Z,33.17982,-117.03455,5
2016-02-17T20:53:07Z,33.26638,-117.09744,5
2016-02-17T20:53:07Z,33.23605,-117.06672,5
2016-02-17T20:53:07Z,33.20510,-117.03681,5
2016-02-17T20:53:08Z,33.27143,-117.07926,5
2016-02-17T20:53:08Z,33.22997,-117.03954,5
2016-02-17T20:53:08Z,33.31026,-117.10574,5
2016-02-17T20:53:09Z,33.26564,-117.05189,5
2016-02-17T20:53:09Z,33.35497,-117.12877,5
2016-02-17T20:53:09Z,33.31534,-117.08752,5
2016-02-17T20:53:09Z,33.29390,-117.06784,5
2016-02-17T20:53:09Z,33.36027,-117.11018,5
2016-02-17T20:53:10Z,33.31998,-117.06986,5
2016-02-17T20:53:10Z,33.40043,-117.13613,5
2016-02-17T20:53:10Z,33.38663,-117.11205,5
2016-02-17T20:53:10Z,33.35407,-117.08266,5
2016-02-17T20:53:10Z,33.44705,-117.15842,5
2016-02-17T20:53:11Z,33.42444,-117.12347,5
2016-02-17T20:53:11Z,33.39255,-117.09381,5
2016-02-17T20:53:12Z,33.42892,-117.10577,5
2016-02-17T20:53:12Z,33.45669,-117.12202,5
2016-02-17T20:53:12Z,33.50565,-117.15830,5
2016-02-17T20:53:13Z,33.56248,-117.19098,5
